addresses,total
[19iqYbeATe4RxghQZJnYVFU4mjUUu76EA6],131198312108111661
[1Kr6QSydW9bFQG1mXiPNNu6WpJGmUa9i1g],16566955499832725
[17A16QmavnUfCW11DAApiJxp7ARnxN5pGX],13539567749979802
[3AQ4kUjQaDjCjmDh2ojKEHjUKTSi52UUqD],10558088936069648
[1KNm4K8GUK8sMoxc2Z3zU8Uv5FDVjrA72p],9679567716116882
[bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h],5259584997901383
[15tYFmUV6wG4e1Gbi1buxBM9zSQzcWSkiK],5019266952783249
[bc1qx2x5cqhymfcnjtg902ky6u5t5htmt7fvqztdsm028hkrvxcl4t2sjtpd9l],4740889739234985
[1P9RQEr2XeE3PEb44ZE35sfZRRW1JHU8qx],4316341191723415
[1G47mSr3oANXMafVrR8UC4pzV7FEAzo3r9],3801316465007054