to_address,total,time_period,transaction_count
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,448977362031986738414000,2025-01-31 20:00:00.000000 UTC,87
0xa6dfb62fc572da152a335384f7724535b9defc84,355000000000000000000000,2025-04-09 12:00:00.000000 UTC,1
0xf977814e90da44bfa03b6295a0616a897441acec,303171502000000000000000,2025-06-26 06:00:00.000000 UTC,1
0xf977814e90da44bfa03b6295a0616a897441acec,302204798000000000000000,2025-07-01 13:00:00.000000 UTC,1
0x109be9d7d5f64c8c391ced3a8f69bdef20fcaea9,295355560000000000000000,2025-02-05 18:00:00.000000 UTC,2
0xa9ac43f5b5e38155a288d1a01d2cbc4478e14573,283978426399762800000000,2025-05-21 10:00:00.000000 UTC,29
0xf977814e90da44bfa03b6295a0616a897441acec,278703232000000000000000,2025-06-08 13:00:00.000000 UTC,1
0x2f44f404d835c3820059d216b957284a064e024b,273963000000000000000000,2025-08-24 12:00:00.000000 UTC,11
0x8ebda19ddee719dab78def3e22c3d37970e35217,272033000000000000000000,2025-10-08 18:00:00.000000 UTC,86
0x8ebda19ddee719dab78def3e22c3d37970e35217,272000000000000000000000,2025-10-08 16:00:00.000000 UTC,85